source,destination,distance_m,time_min,cost_idr,transit
Juanda,Harmoni,800,8,0,1
Kampung Bandan,Kampung Bandan KRL,200,2,0,0
Kampung Bandan KRL,Kampung Bandan,200,2,0,0
Ancol,Ancol KRL,300,3,0,0
Ancol KRL,Ancol,300,3,0,0
Tanah Abang,Tanah Abang KRL,400,4,0,0
Tanah Abang KRL,Tanah Abang,400,4,0,0
# Major Shopping Center Connections
Bundaran HI,Grand Indonesia,500,5,0,1
Grand Indonesia,Bundaran HI,500,5,0,1
Bundaran HI,Plaza Indonesia,400,4,0,1
Plaza Indonesia,Bundaran HI,400,4,0,1
Senayan,Senayan City,600,6,0,1
Senayan City,Senayan,600,6,0,1
Senayan,Plaza Senayan,700,7,0,1
Plaza Senayan,Senayan,700,7,0,1
Blok M,Blok M Plaza,300,3,0,1
Blok M Plaza,Blok M,300,3,0,1
Kelapa Gading,Kelapa Gading Mall,800,8,0,1
Kelapa Gading Mall,Kelapa Gading,800,8,0,1
Grogol,Central Park Mall,1200,12,0,1
Central Park Mall,Grogol,1200,12,0,1
Tomang,Taman Anggrek Mall,900,9,0,1
Taman Anggrek Mall,Tomang,900,9,0,1
Setiabudi,Kota Kasablanka,3500,15,0,1
Kota Kasablanka,Setiabudi,3500,15,0,1
Bundaran HI,Lotte Shopping Avenue,800,6,0,1
Lotte Shopping Avenue,Bundaran HI,800,6,0,1
Dukuh Atas,fx Sudirman,600,5,0,1
fx Sudirman,Dukuh Atas,600,5,0,1
# University Connections
Fatmawati,Universitas Indonesia,15000,35,8000,1
Universitas Indonesia,Fatmawati,15000,35,8000,1
Grogol,Universitas Bina Nusantara,5500,18,5000,1
Universitas Bina Nusantara,Grogol,5500,18,5000,1
Tomang,Universitas Trisakti,3200,12,4000,1
Universitas Trisakti,Tomang,3200,12,4000,1
Pasar Minggu,Universitas Pancasila,8500,25,6000,1
Universitas Pancasila,Pasar Minggu,8500,25,6000,1
Setiabudi,Institut Teknologi Jakarta,4200,18,5000,1
Institut Teknologi Jakarta,Setiabudi,4200,18,5000,1
Grogol,Universitas Mercu Buana,3800,15,4500,1
Universitas Mercu Buana,Grogol,3800,15,4500,1
Tomang,Universitas Tarumanagara,2800,12,4000,1
Universitas Tarumanagara,Tomang,2800,12,4000,1
# Hospital Connections
Harmoni,RSUPN Cipto Mangunkusumo,2800,12,4000,1
RSUPN Cipto Mangunkusumo,Harmoni,2800,12,4000,1
Fatmawati MRT,RS Fatmawati,800,8,2000,1
RS Fatmawati,Fatmawati MRT,800,8,2000,1
Pulomas LRT,RS Persahabatan,3500,15,4500,1
RS Persahabatan,Pulomas LRT,3500,15,4500,1
Sunter,RS Tarakan,4200,18,5000,1
RS Tarakan,Sunter,4200,18,5000,1
Cawang,RSUD Pasar Rebo,6500,22,6000,1
RSUD Pasar Rebo,Cawang,6500,22,6000,1
Grogol,RS Harapan Kita,3500,15,4500,1
RS Harapan Kita,Grogol,3500,15,4500,1
Tomang,RS Dharmais,2500,12,4000,1
RS Dharmais,Tomang,2500,12,4000,1
# Airport Connections
Grogol,Soekarno Hatta Airport,25000,60,35000,1
Soekarno Hatta Airport,Grogol,25000,60,35000,1
Cengkareng,Soekarno Hatta Airport,15000,35,25000,1
Soekarno Hatta Airport,Cengkareng,15000,35,25000,1
Cawang,Halim Perdanakusuma Airport,8500,25,15000,1
Halim Perdanakusuma Airport,Cawang,8500,25,15000,1
# Government Building Connections
Monas,Istana Merdeka,1200,8,3000,1
Istana Merdeka,Monas,1200,8,3000,1
Senayan,DPR RI,2800,12,4000,1
DPR RI,Senayan,2800,12,4000,1
Harmoni,Balai Kota DKI,2500,10,3500,1
Balai Kota DKI,Harmoni,2500,10,3500,1
Monas,Gedung Sate,1500,8,3000,1
Gedung Sate,Monas,1500,8,3000,1
Kampung Bandan,Mabes TNI,3500,15,4500,1
Mabes TNI,Kampung Bandan,3500,15,4500,1
Kuningan,Kemhan RI,2200,10,3500,1
Kemhan RI,Kuningan,2200,10,3500,1
# Tourist Attraction Connections
Ancol,Ancol Dreamland,1500,8,3000,1
Ancol Dreamland,Ancol,1500,8,3000,1
Kota,Kota Tua,800,6,2000,1
Kota Tua,Kota,800,6,2000,1
Monas,Monumen Nasional,200,2,1000,1
Monumen Nasional,Monas,200,2,1000,1
Pasar Minggu,Ragunan Zoo,6500,20,5000,1
Ragunan Zoo,Pasar Minggu,6500,20,5000,1
Kampung Melayu,Taman Mini Indonesia Indah,12000,35,8000,1
Taman Mini Indonesia Indah,Kampung Melayu,12000,35,8000,1
Monas,Istiqlal Mosque,1000,6,2000,1
Istiqlal Mosque,Monas,1000,6,2000,1
Monas,Jakarta Cathedral,800,5,1500,1
Jakarta Cathedral,Monas,800,5,1500,1
# Traditional Market Connections
Tanah Abang,Pasar Tanah Abang,300,3,1000,1
Pasar Tanah Abang,Tanah Abang,300,3,1000,1
Pasar Senen,Pasar Senen Market,200,2,1000,1
Pasar Senen Market,Pasar Senen,200,2,1000,1
Blok M,Pasar Mayestik,1200,8,2000,1
Pasar Mayestik,Blok M,1200,8,2000,1
Cawang,Pasar Rebo,4500,18,3500,1
Pasar Rebo,Cawang,4500,18,3500,1
Jatinegara,Pasar Jatinegara,800,6,1500,1
Pasar Jatinegara,Jatinegara,800,6,1500,1
# Business District Connections
Dukuh Atas,Sudirman CBD,800,6,2500,1
Sudirman CBD,Dukuh Atas,800,6,2500,1
Setiabudi,SCBD,2200,12,4000,1
SCBD,Setiabudi,2200,12,4000,1
Kuningan,Kuningan CBD,500,4,2000,1
Kuningan CBD,Kuningan,500,4,2000,1
Bundaran HI,Thamrin CBD,600,5,2500,1
Thamrin CBD,Bundaran HI,600,5,2500,1
Kuningan,Rasuna Said,1200,8,3000,1
Rasuna Said,Kuningan,1200,8,3000,1
Kuningan,Mega Kuningan,1800,10,3500,1
Mega Kuningan,Kuningan,1800,10,3500,1
# Terminal Bus Connections
Blok M,Terminal Blok M,400,4,1500,1
Terminal Blok M,Blok M,400,4,1500,1
Kampung Melayu,Terminal Kampung Rambutan,8500,25,6000,1
Terminal Kampung Rambutan,Kampung Melayu,8500,25,6000,1
Lebak Bulus,Terminal Lebak Bulus,500,5,1500,1
Terminal Lebak Bulus,Lebak Bulus,500,5,1500,1
Kalideres,Terminal Kalideres,600,6,2000,1
Terminal Kalideres,Kalideres,600,6,2000,1
Pulo Gadung,Terminal Pulogadung,800,8,2500,1
Terminal Pulogadung,Pulo Gadung,800,8,2500,1
Sunter,Terminal Rawamangun,6500,20,5000,1
Terminal Rawamangun,Sunter,6500,20,5000,1
Cawang,Terminal Pinang Ranti,4200,15,4000,1
Terminal Pinang Ranti,Cawang,4200,15,4000,1
Grogol,Terminal Grogol,500,4,1500,1
Terminal Grogol,Grogol,500,4,1500,1
Pasar Minggu,Terminal Pasar Minggu,600,5,1500,1
Terminal Pasar Minggu,Pasar Minggu,600,5,1500,1
Pasar Senen,Terminal Senen,400,3,1200,1
Terminal Senen,Pasar Senen,400,3,1200,1
Cawang,Terminal Cililitan,3500,12,3000,1
Terminal Cililitan,Cawang,3500,12,3000,1
# Extended Routes to Outskirts
Terminal Lebak Bulus,Pondok Indah,3500,12,4000,1
Pondok Indah,Terminal Lebak Bulus,3500,12,4000,1
Pondok Indah,Pondok Indah Mall,800,6,2000,1
Pondok Indah Mall,Pondok Indah,800,6,2000,1
Kelapa Gading,Pantai Indah Kapuk,12000,35,8000,1
Pantai Indah Kapuk,Kelapa Gading,12000,35,8000,1
Grogol,Puri Indah,8500,25,6000,1
Puri Indah,Grogol,8500,25,6000,1
Fatmawati,Kemang,4500,18,5000,1
Kemang,Fatmawati,4500,18,5000,1
Bundaran HI,Menteng,2800,12,3500,1
Menteng,Bundaran HI,2800,12,3500,1
Blok M,Kebayoran Baru,2200,10,3000,1
Kebayoran Baru,Blok M,2200,10,3000,1
Ancol,Pluit,6500,20,5000,1
Pluit,Ancol,6500,20,5000,1
# Sports Venue Connections
Senayan,Gelora Bung Karno,1200,8,3000,1
Gelora Bung Karno,Senayan,1200,8,3000,1
Senayan,Senayan Sports Complex,800,6,2500,1
Senayan Sports Complex,Senayan,800,6,2500,1
Kelapa Gading,Jakarta International Stadium,5500,20,6000,1
Jakarta International Stadium,Kelapa Gading,5500,20,6000,1
